"","Category","m","Year","COG_hat","SE"
"129","2","2","1996","4234.51543813563","52.6147624520755"
"130","2","2","1997","4247.76627920609","57.9083596263513"
"131","2","2","1998","4220.28847368728","55.9850842946423"
"132","2","2","1999","4290.87692942253","45.0965013695781"
"133","2","2","2000","4200.39784684701","40.7063621110854"
"134","2","2","2001","4340.04907081761","45.6191696285909"
"135","2","2","2002","4242.08500037176","59.2077812189089"
"136","2","2","2003","4212.19094789315","67.0681023127948"
"137","2","2","2004","4271.16893726061","63.921067446441"
"138","2","2","2005","4174.25448827615","51.3568555322247"
"139","2","2","2006","4280.02626477769","57.1311496154586"
"140","2","2","2007","4228.79104566826","49.3625591461021"
"141","2","2","2008","4244.67042498958","60.2813207333513"
"142","2","2","2009","4215.29636359692","50.676674861828"
"143","2","2","2010","4322.331029431","62.4141128657525"
"144","2","2","2011","4252.36678929468","56.0945579683089"
"145","2","2","2012","4241.34643550857","55.3764140054904"
"146","2","2","2013","4346.85541322511","56.650425424759"
"147","2","2","2014","4299.82615874361","40.9013740375633"
"148","2","2","2015","4245.97395792499","57.3091741298104"
"149","2","2","2016","4331.22191290319","59.060802217144"
"150","2","2","2017","4248.13541726996","74.172255333186"
"151","2","2","2018","4304.36599063796","47.2579362820768"
"152","2","2","2019","4321.5510377754","69.9451393553022"
"153","3","1","1982","390.00717484541","20.8319282081621"
"154","3","1","1983","376.972100070342","21.1464488235938"
"155","3","1","1984","380.342772540857","20.61990802769"
"156","3","1","1985","348.370603719992","18.8657464151444"
"157","3","1","1986","369.886507829093","20.4604309282471"
"158","3","1","1987","369.964555818589","18.6660965685714"
"159","3","1","1988","385.71770784758","24.8590426395588"
"160","3","1","1989","381.138425943648","19.8460529867984"
"161","3","1","1990","405.213425131268","21.3097174427565"
"162","3","1","1991","371.964604508492","21.110127409568"
"163","3","1","1992","385.299777584228","20.6342608671345"
"164","3","1","1993","394.612962667335","18.0227527213391"
"165","3","1","1994","395.09400557283","17.2662462740353"
"166","3","1","1995","384.811424675305","15.3256280953495"
"167","3","1","1996","373.654363842727","19.1287318065622"
"168","3","1","1997","400.648898510838","20.0055122243464"
"169","3","1","1998","392.383019689582","19.0044073211461"
"170","3","1","1999","388.399200505309","19.1486582207988"
"171","3","1","2000","408.740736800287","22.2506024306161"
